SKU,date,PrevAVGCost,PrevAssignedCost,AVGCost,LatestDateCost,Type,GenPrice
A-F-00002,2019-01-04,114.57575759999999,165.0,117.1111111,141.1313131,A,203.0
A-E-00057,2019-01-04,69.0106383,95.0,74.60638298,85.29787234,C,136.0
A-E-00058,2019-01-04,71.14893617,95.0,75.61702128,71.24468085,C,125.0
A-G-00015,2019-01-04,66.46464646,68.0,66.37373737,65.65656566,C,117.0
A-A-00028,2019-01-04,16.49494949,17.0,14.57575758,14.48484848,C,29.0
A-D-00048,2019-01-04,0.0,240.0,110.1515152,110.1515152,C,232.0
A-E-00061,2019-01-04,33.82142857,34.0,42.76190476,47.51190476,C,77.0
A-E-00063,2019-01-04,23.35353535,25.0,21.84848485,23.13131313,A,35.0
A-E-00092,2019-01-04,24.898989899999997,25.0,0.0,0.0,A,36.0
A-E-00068,2019-01-04,142.43434340000002,152.0,143.5858586,140.15151519999998,A,204.0
A-E-00065,2019-01-04,137.16161619999997,135.0,130.9191919,129.24242420000002,A,183.0
A-E-00066,2019-01-04,98.26262626,112.0,94.01010101,102.23232320000001,A,147.0
A-G-00017,2019-01-04,21.04081633,25.0,19.32653061,20.15306122,A,36.0
A-G-00039,2019-01-04,0.0,26.0,0.0,0.0,A,37.0
A-G-00059,2019-01-04,22.17204301,26.0,20.3655914,21.23655914,A,37.0
A-G-00018,2019-01-04,23.43181818,28.0,21.52272727,22.44318182,A,41.0
A-G-00028,2019-01-04,70.19387755,73.0,61.59183673,61.59183673,A,94.0
A-G-00069,2019-01-04,69.48484848,73.0,60.96969697,60.96969697,A,94.0
A-G-00020,2019-01-04,98.37373737,98.0,90.90909091,90.90909091,A,132.0
A-G-00041,2019-01-04,22.40625,23.0,22.92708333,22.65625,A,33.0
A-G-00021,2019-01-04,22.40625,24.0,22.92708333,22.65625,A,34.0
A-G-00036,2019-01-04,22.40625,23.0,22.92708333,22.65625,A,33.0
A-G-00022,2019-01-04,25.91566265,27.0,26.51807229,26.20481928,A,37.0
A-G-00023,2019-01-04,16.23863636,19.0,14.44318182,16.79545455,A,28.0
A-G-00037,2019-01-04,14.58163265,16.0,12.96938776,15.08163265,A,25.0
A-G-00061,2019-01-04,0.0,14.0,0.0,0.0,A,25.0
A-G-00024,2019-01-04,8.585858586,10.0,9.767676768,12.29292929,A,20.0
A-K-00001,2019-01-04,6.262626263,6.5,6.0606060610000005,6.0606060610000005,D,10.0
A-K-00002,2019-01-04,92.38383838,100.0,89.59595959999999,90.75757576,C,150.0
A-K-00003,2019-01-04,83.75757576,95.0,89.21212121,89.13131313,C,143.0
A-K-00004,2019-01-04,189.9090909,195.0,191.9191919,200.020202,C,258.0
A-K-00005,2019-01-04,40.27272727,45.0,36.96969697,60.60606061,C,96.0
A-K-00007,2019-01-04,63.91919192,64.0,69.32323232,69.32323232,C,105.0
